,State,Sum
0,MS,4018.8
1,NC,28536.7
2,OK,8683.0
3,VA,17214.0
4,WV,11564.2
5,LA,14226.1
6,MI,32346.0
7,MA,28045.9
8,ID,2833.9
9,FL,62372.2
10,NE,1886.4
11,WA,14219.9
12,NM,6138.0
13,SD,763.3
14,TX,36548.7
15,CA,65328.9
16,AL,9419.5
17,GA,17446.6
18,PA,58828.9
19,MO,18184.5
20,CO,12469.9
21,UT,8032.2
22,TN,22644.6
23,WY,800.2
24,NY,28983.3
25,KS,4084.3
26,NV,9011.8
27,IL,33731.3
28,VT,1644.8
29,MT,1326.9
30,IA,3708.5
31,SC,12663.4
32,NH,5547.4
33,AZ,20151.2
34,NJ,33337.3
35,MD,28937.2
36,ME,4735.5
37,DE,4485.4
38,RI,3962.5
39,KY,16927.5
40,OH,51675.3
41,WI,13755.8
42,OR,6705.0
43,ND,921.2
44,AR,5341.3
45,IN,20352.0
46,MN,8165.1
47,CT,12869.6
