,State,Sum
0,MS,590.0999999999999
1,NC,455.4
2,OK,577.1
3,VA,420.8
4,WV,546.0
5,LA,540.1
6,MI,496.4
7,MA,367.6
8,ID,443.2
9,FL,400.4
10,NE,428.8
11,WA,414.90000000000003
12,NM,407.90000000000003
13,SD,438.40000000000003
14,TX,452.40000000000003
15,CA,401.1
16,AL,568.9
17,GA,485.90000000000003
18,PA,443.99999999999994
19,MO,496.1
20,CO,376.29999999999995
21,UT,401.50000000000006
22,TN,539.4
23,WY,447.09999999999997
24,NY,395.09999999999997
25,KS,447.79999999999995
26,NV,465.9
27,IL,434.8
28,VT,431.5
29,MT,421.79999999999995
30,IA,450.8
31,SC,484.70000000000005
32,NH,406.5
33,AZ,395.90000000000003
34,NJ,401.40000000000003
35,MD,418.50000000000006
36,ME,440.2
37,DE,456.8
38,RI,416.29999999999995
39,KY,543.9
40,OH,508.20000000000005
41,WI,432.4
42,OR,411.1
43,ND,412.1
44,AR,560.6
45,IN,502.3
46,MN,380.8
47,CT,365.4
